date,text
2025-08-02 12:59:17+00:00,مطلوب كشاف انارة بقعد اقل اشي ٦ ساعات
2025-08-02 12:57:16+00:00,"مطلوب مراوح فالشمال الي موجود عنده يكلمني خاص او على رقمي 

0592605483"
2025-08-02 12:52:51+00:00,مطلوب ساعة شبه الي بالصورة  ، او قريبة منها
2025-08-02 12:52:41+00:00,"#مطلوب حب كلشن فرط او كراتين
جوال 0592918210"
2025-08-02 12:47:15+00:00,مطلوب شقة ايجار كمكتب بغزة
2025-08-02 12:42:01+00:00,مطلوب كيسين طحين تطبيق اللي عنده يتواصل معي
2025-08-02 12:38:53+00:00,مطلوب بطارية ايفون 7 بلس
2025-08-02 12:37:19+00:00,"مطلوب حب كلشن كمية 
0567919703"
2025-08-02 12:35:50+00:00,"الدفع كاش 🔥 🚀 
مطلوب حب كلشن  
مطلوب حب ام 16
مطلوب حب 9, لقر او بارا
مطلوب مسدسات حي وصوت
مطلوب بواريد 
موجود صيانه جنيع انواع السلاح
خانيونس0598538622"
2025-08-02 12:33:38+00:00,موجود 200 حبه ام16 اجنص موديل 2023 للبيع كاش فقط مطلوب 13 بالحبة المعني المغازي 0599795183
2025-08-02 12:29:22+00:00,مطلوبب جواااأااااال بدفعلك كاااااش
2025-08-02 12:17:34+00:00,مطلوب لحمة علب مقابل طحين عزة جلااء
2025-08-02 12:16:07+00:00,مطلوب لحمة علب مقابل طحين
2025-08-02 12:10:53+00:00,مطلوب 5كيلو عدس اسمر الدفع كاش
2025-08-02 12:07:39+00:00,مطلوب تمر بالعجوة
2025-08-02 12:05:57+00:00,مطلوب سكر الدفع كاش
2025-08-02 12:04:45+00:00,مطلوب نظام طاقة كامل لتشغيل غاطس حصان ونص
2025-08-02 11:48:22+00:00,"مطلوب سي/ولة ويكون من دير البلح 
مبالغ كبيرة 
التواصل خاص"
2025-08-02 11:46:57+00:00,"مطلوب ايفون 8بلص تكون بطريتو كويسه
وبسعر طري"
2025-08-02 11:41:23+00:00,مطلوب حمص ع التطبيق
2025-08-02 11:41:11+00:00,مطلوب بطاريهة100 امبير للسياره. تطبيق
2025-08-02 11:36:38+00:00,مطلوب طحين و مواد تموينية عالتطبيق
2025-08-02 11:35:05+00:00,"متوفر تجميعة 
المواصفات /
معالج i5 10 f
كرت شاشة gtx1650
مذر بورد b560m e pro
m2 256
hdd50 
باور سبلاي 500w
ram 16
المكان غزة 
مطلوب 1200ش البيع تطبيق وكاش نفس السعر
التواصل 0567542019"
2025-08-02 11:30:24+00:00,مطلوب ايفون 8بلص تكون بطريتو كويسه
2025-08-02 11:27:29+00:00,مطلوب طحين و مواد تموينية عالتطبيق
2025-08-02 11:23:57+00:00,"مطلوب جوال نظيف بحدود 1500 دفع بنكي
جنوب"
2025-08-02 11:15:59+00:00,مطلوب سيولة
2025-08-02 11:14:04+00:00,"❗❗❗❗❗❗❗

مطلوب حطب على التطبيق شمال غزة"
2025-08-02 11:06:42+00:00,"🔴🔴🔴مطلوب مكمل زي الي في الصورة بزبط 
للبيت مش للتجارة والله شاهد 
بسعر معقول 🔴🔴"
2025-08-02 10:50:56+00:00,مطلوب طحين تطبيق اي سعر النصيرات
2025-08-02 10:39:32+00:00,مطلوب مكمل غذائي وبسكوت بسعر الجملة
2025-08-02 10:30:19+00:00,"مطلوب رولات كلنس 
شمال"
2025-08-02 10:27:47+00:00,"مطلوب جوال نظيف بحدود 1500 دفع بنكي
جنوب"
2025-08-02 10:22:18+00:00,مطلوب نظام طاقة كامل لتشغيل غاطس حصان ونص
2025-08-02 10:12:35+00:00,مطلوب نظام طاقة كامل لتشغيل غاطس حصان ونص
2025-08-02 10:08:01+00:00,مطلوب حليب ع التطبيق
2025-08-02 10:07:42+00:00,مطلوب حليب ع التطبيق
2025-08-02 10:06:11+00:00,"مطلوب ساعة يد مقابل طحين ..

دير البلح 
التواصل خاص"
2025-08-02 10:02:38+00:00,مطلوب جوال نظيف والدفع كاش كامل او تطبيق الخيار الك
2025-08-02 09:51:00+00:00,"مطلوب خميرة وسيرج بنكي بسعر برضي ربنا 
دير البلح"
2025-08-02 09:49:42+00:00,"مطلوب مواد تموينية للبيع بنكي ، مواصي خانيونس
0592101736"
2025-08-02 09:40:46+00:00,مطلوب ديلفري من غزة للدير
2025-08-02 09:39:39+00:00,"مطلوب برميل ٢٥٠ لتر 
او ٣٠٠ لتر جنوب غزة"
2025-08-02 09:37:27+00:00,مطلوب طحين و مواد تموينية عالتطبيق
2025-08-02 09:35:25+00:00,"متوفر اربع جواز زغاليل للدبح او للطلق والتربية
افضل السلالات بغزة للحمام الزاجل الواردة من مصر
من اولاد مهاود والشلقاني والبلجيكي والبيتر
وقسما بربي ايام الخير حق الجوز  ب1000ش
المطلوب بالجوز 250 كاش
او البدل على حمص او عدس
ما حد يناقش بالسعر بشيكل
0598838813
النصيرات"
2025-08-02 09:32:56+00:00,مطلوب كويل زي هادا
2025-08-02 09:32:53+00:00,مطلوب طحين و مواد تموينية عالتطبيق
2025-08-02 09:29:07+00:00,مطلوب حب كلشن  كراتين  او نفل جديد او قديم يكون بسعر مناسب 👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍
2025-08-02 09:28:52+00:00,مطلوب حب كلشن  كراتين  او نفل جديد او قديم يكون بسعر مناسب 👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍
2025-08-02 09:28:36+00:00,مطلوب حب كلشن  كراتين  او نفل جديد او قديم يكون بسعر مناسب 👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍
2025-08-02 09:23:40+00:00,مطلوب جوال والدفع كاش ايش عندك كلمني
2025-08-02 09:20:21+00:00,"السلام عليكم 
مطلوب طحين ومواد تموينية على التطبيق
المكان غزة النصر"
2025-08-02 09:18:49+00:00,"**مطلوب 

وصلة تشاومي عريض 

تكون بتشحن تيربو**"
2025-08-02 09:18:00+00:00,"غزة .. مطلوب علبة لحمة قطع
غزة .. مطلوب علبة لحمة قطع
غزة .. مطلوب علبة لحمة قطع"
2025-08-02 09:16:19+00:00,مطلوب سميد
2025-08-02 09:13:54+00:00,"مطلوب صابونة هواي مقابل طحين ..

دير البلح
التواصل خاص"
2025-08-02 09:10:37+00:00,مطلوب سيوله دير البلح نسيه اقل من سوق
2025-08-02 09:07:16+00:00,مطلوب شاشه honor x7
2025-08-02 09:06:56+00:00,مطلوب سيولة 1000شيكل مقابل كيلو سكر وعلبة شوكلاته دير البلح
2025-08-02 09:06:33+00:00,مطلوب سيولة 1000شيكل مقابل كيلو سكر وعلبة شوكلاته دير البلح
2025-08-02 09:04:52+00:00,مطلوب طحين ع التطبيق غزة تل الهوا
2025-08-02 09:03:54+00:00,"مطلوب جوال نظيف بحدود 1500 دفع بنكي
جنوب"
2025-08-02 09:03:35+00:00,"مطلوب صابونة هواي مقابل طحين ..

دير البلح
التواصل خاص"
2025-08-02 08:49:49+00:00,مطلوب لوح طاقة فيه كسر خفيف بسعر طري يكون من خانيونس تطبيق
2025-08-02 08:47:54+00:00,"مطلوب بسكليت يكون من خان يونس


مطلوب بسكليت يكون من خان يونس


مطلوب بسكليت يكون من خان يونس"
2025-08-02 08:38:58+00:00,"مطلوب الواح طاقةة 
بحالة الجديد او فيه كسر بشتريه

كاش او تطبيق
المتوفر عنده يتواصل ع الرسائل و جوال
0597054091"
2025-08-02 08:27:32+00:00,"مطلوب بامبرز نمرة 2 مقابل سيولة 
دير البلح"
2025-08-02 08:20:03+00:00,مطلوب خميرة وسكر بيع غزة الشمال
2025-08-02 07:57:21+00:00,"مطلوب بسكليت يكون من خان يونس


مطلوب بسكليت يكون من خان يونس


مطلوب بسكليت يكون من خان يونس"
2025-08-02 07:44:33+00:00,مطلوب رصيد جوال ضروري للبيع تطبيق ✨🩶
2025-08-02 07:41:07+00:00,مطلوب سيولة 700شيكل للبدل على 5 كيلو طحين العنوان النصيرات السوق
2025-08-02 07:31:15+00:00,مطلوب خميره وسكر
2025-08-02 07:29:12+00:00,مطلوب سيرج وخميرة تطبيق دير البلح
2025-08-02 07:25:54+00:00,"مطلوب طحين تطبيق 
مطلوب طحين تطبيق 
مطلوب طحين تطبيق 
مطلوب طحين تطبيق 
مطلوب طحين تطبيق 
مطلوب طحين تطبيق 
مطلوب طحين تطبيق 
مطلوب طحين تطبيق 
مطلوب طحين تطبيق 
مطلوب طحين تطبيق 
مطلوب طحين تطبيق 
مطلوب طحين تطبيق 
مطلوب طحين تطبيق 
مطلوب طحين تطبيق 
مطلوب طحين تطبيق 
مطلوب طحين تطبيق 
مطلوب طحين تطبيق 
مطلوب طحين تطبيق 
مطلوب طحين تطبيق
مطلوب طحين تطبيق 
مطلوب طحين تطبيق 
مطلوب طحين تطبيق 
مطلوب طحين تطبيق 
مطلوب طحين تطبيق 
مطلوب طحين تطبيق 
مطلوب طحين تطبيق 
مطلوب طحين تطبيق 
مطلوب طحين تطبيق 
مطلوب طحين تطبيق 
مطلوب طحين تطبيق 
مطلوب طحين تطبيق 
مطلوب طحين تطبيق 
مطلوب طحين تطبيق 
مطلوب طحين تطبيق 
مطلوب طحين تطبيق 
مطلوب طحين تطبيق 
مطلوب طحين تطبيق
مطلوب طحين تطبيق 
مطلوب طحين تطبيق 
مطلوب طحين تطبيق 
مطلوب طحين تطبيق 
مطلوب طحين تطبيق 
مطلوب طحين تطبيق 
مطلوب طحين تطبيق 
مطلوب طحين تطبيق 
مطلوب طحين تطبيق 
مطلوب طحين تطبيق 
مطلوب طحين تطبيق 
مطلوب طحين تطبيق 
مطلوب طحين تطبيق 
مطلوب طحين تطبيق 
مطلوب طحين تطبيق 
مطلوب طحين تطبيق 
مطلوب طحين تطبيق 
مطلوب طحين تطبيق 
مطلوب طحين تطبيق
مطلوب طحين تطبيق 
مطلوب طحين تطبيق 
مطلوب طحين تطبيق 
مطلوب طحين تطبيق 
مطلوب طحين تطبيق 
مطلوب طحين تطبيق 
مطلوب طحين تطبيق 
مطلوب طحين تطبيق 
مطلوب طحين تطبيق 
مطلوب طحين تطبيق 
مطلوب طحين تطبيق 
مطلوب طحين تطبيق 
مطلوب طحين تطبيق 
مطلوب طحين تطبيق 
مطلوب طحين تطبيق 
مطلوب طحين تطبيق 
مطلوب طحين تطبيق 
مطلوب طحين تطبيق 
مطلوب طحين تطبيق
مطلوب طحين تطبيق 
مطلوب طحين تطبيق 
مطلوب طحين تطبيق 
مطلوب طحين تطبيق 
مطلوب طحين تطبيق 
مطلوب طحين تطبيق 
مطلوب طحين تطبيق 
مطلوب طحين تطبيق 
مطلوب طحين تطبيق 
مطلوب طحين تطبيق 
مطلوب طحين تطبيق 
مطلوب طحين تطبيق 
مطلوب طحين تطبيق 
مطلوب طحين تطبيق 
مطلوب طحين تطبيق 
مطلوب طحين تطبيق 
مطلوب طحين تطبيق 
مطلوب طحين تطبيق 
مطلوب طحين تطبيق"
2025-08-02 07:21:34+00:00,مطلوب خميره وسكر
2025-08-02 07:16:43+00:00,مطلوب خميرة وسكر
2025-08-02 07:05:56+00:00,مطلوب ايفون16بروماكس الدفع كاش 0567878150
2025-08-02 06:48:34+00:00,مطلوب كيلو تمر تطبيق
2025-08-02 06:32:41+00:00,"مطلوب خميرة فورية للعجين 
بدل ع طحين 

مطلوب خميرة فورية للعجين 
بدل ع طحين"
2025-08-02 06:07:58+00:00,مطلوب جوال نضيف
2025-08-02 05:53:52+00:00,"مطلوب طحين مقابل. سيولة 
النصيرات
0597338341"
2025-08-02 05:48:33+00:00,"مطلوب ايفون 13 أو 14 
للبدل على Xiaomi 13 lite 
تواصل خاص"
2025-08-02 05:42:47+00:00,"مطلوب بسكليت يكون من خان يونس


مطلوب بسكليت يكون من خان يونس


مطلوب بسكليت يكون من خان يونس"
2025-08-02 05:39:28+00:00,مطلوب جوال نضيف بحدود 3000 شيكل
2025-08-02 04:42:30+00:00,"مطلوب خضرة على البنكي
مين متوفر عندي يكلمني
غزة"
2025-08-02 04:40:39+00:00,"مطلوب بسكليت يكون من خان يونس


مطلوب بسكليت يكون من خان يونس


مطلوب بسكليت يكون من خان يونس"
2025-08-02 04:33:28+00:00,مطلوب طحين بنكي خان يونس ٢٥او٥٠ يلي عندو يتواصل معي
2025-08-02 04:21:14+00:00,"مطلوب الفين شيكل كاش مقابل بنكي بنسبة معقولة
دير البلح دوار البركة🥲"
2025-08-02 04:13:20+00:00,مطلوب طحين عالتطبيق دير البلح دوار البركة
2025-08-02 04:04:21+00:00,مطلوب شاشة شاومي نوت 9
2025-08-02 02:35:41+00:00,مطلوب وصلة تايب سي
2025-08-02 02:26:28+00:00,"مطلوب شاشة جوال سامسونج +A6
مطلوب تمر أو حلاوة بسعر منيح"
2025-08-01 23:28:00+00:00,مطلوب طحين بنكي خان يونس ٢٥او٥٠ يلي عندو يتواصل معي
2025-08-01 22:53:19+00:00,مطلوب طحين تطبيق
2025-08-01 22:52:50+00:00,مطلوب سيولة مقابل طحين النصيرات..
2025-08-01 22:24:54+00:00,"مطلوب كيلو سكر الدفع عبر التطبيق 
يكون سكان غزة"
2025-08-01 22:21:31+00:00,مطلوب شوال طحين تطبيق النصيرات
2025-08-01 21:57:59+00:00,"مطلوب …
بطارية آيفون x تكون منيحة ونسبتها فوق 99% وبسعر منيح
التواصل خاص او ع الرقم /0568335190"
2025-08-01 21:24:05+00:00,"مطلوب ايفون 13 أو 14 
للبدل على Xiaomi 13 lite 
تواصل خاص"
2025-08-01 21:21:08+00:00,"مطلوب جوال 13برو ماكس أو 12برو ماكس 
للبدل على 12عادي 
وبزيد الفارقية"
2025-08-01 21:17:57+00:00,"مطلوب مسدسات حي جميع الانواع 
مطلوب كلشن الي عندو يتواصل خاص او جوال 0595099115"
2025-08-01 21:16:53+00:00,"مطلوب جوال 13برو ماكس أو 12برو ماكس 
للبدل على 12عادي 
وبزيد الفارقية"
2025-08-01 21:07:05+00:00,مطلوب طحين لبيع التطبيق
2025-08-01 21:01:42+00:00,"مطلوب بسكليت يكون من خان يونس


مطلوب بسكليت يكون من خان يونس


مطلوب بسكليت يكون من خان يونس"
2025-08-01 20:57:36+00:00,"مطلوب 


سميد خانيونس"
2025-08-01 20:56:16+00:00,"مطلوب ساعة جي شوك نفس الي فالصورة 
الي عندوا يتواصل خاص لضرورة"
2025-08-01 20:52:56+00:00,مطلوب طقم بطاريات ٢ فولت ١٠٠٠ امبير، للتواصل خاص
2025-08-01 20:50:16+00:00,"مطلوب سكر
الدفع كاش
دير البلح"
2025-08-01 20:49:54+00:00,مطلوب طقم بطاريات ٢ فولت ١٠٠٠ امبير، للتواصل خاص
2025-08-01 20:47:57+00:00,"متوفر 300$ USDT مطلوب بدالهم كاش 

الوسطى"
2025-08-01 20:47:22+00:00,**مطلوب ايفون 11 او 12 بطارية فوق ٨٠ مسكر فل نورمال تطبيق كامل**
2025-08-01 20:46:41+00:00,"مطلوب سكر
الدفع كاش
دير البلح"
2025-08-01 20:45:47+00:00,"مطلوب بسكليت يكون من خان يونس


مطلوب بسكليت يكون من خان يونس


مطلوب بسكليت يكون من خان يونس"
2025-08-01 20:45:42+00:00,"السلام عليكم 
مطلوب بيض مكبس للبيع 
يلي عندو يبعتلي خاص 
النصيرات"
2025-08-01 20:40:45+00:00,"مطلوب بسكليت يكون من خان يونس


مطلوب بسكليت يكون من خان يونس


مطلوب بسكليت يكون من خان يونس"
2025-08-01 20:40:31+00:00,مطلوب خميره
2025-08-01 20:30:47+00:00,"مطلوب بسكليت يكون من خان يونس


مطلوب بسكليت يكون من خان يونس


مطلوب بسكليت يكون من خان يونس"
2025-08-01 20:30:42+00:00,**مطلوب ايفون ١١ بطارية فوق ٨٠ مسكر فل نورمال بحدود ٤٠٠٠ تطبيق**
2025-08-01 20:27:10+00:00,مطلوب كم كيلو طحين على التطبيق
2025-08-01 20:26:20+00:00,"مطلوب بسكليت يكون من خان يونس


مطلوب بسكليت يكون من خان يونس


مطلوب بسكليت يكون من خان يونس"
2025-08-01 20:23:33+00:00,"مطلوب كاش مقابل بنكي 
خانيونس"
2025-08-01 20:22:19+00:00,"مطلوب بسكليت يكون من خان يونس


مطلوب بسكليت يكون من خان يونس


مطلوب بسكليت يكون من خان يونس"
2025-08-01 20:21:14+00:00,"مطلوب بسكليت يكون من خان يونس


مطلوب بسكليت يكون من خان يونس


مطلوب بسكليت يكون من خان يونس"
2025-08-01 20:20:15+00:00,"مطلوب طحينية بيضا أو حمراء
كيس طحين، عدس مجروش وعدس أسود وأرز تطبيق
عجوة
قهوة عيليت أو بُن
غزة"
2025-08-01 20:19:02+00:00,"الدفع كاش 🔥 🚀 
مطلوب حب كلشن  
مطلوب حب ام 16
مطلوب حب 9, لقر او بارا
مطلوب مسدسات حي وصوت
مطلوب بواريد 
موجود صيانه جنيع انواع السلاح
خانيونس0598538622"
2025-08-01 20:17:11+00:00,"مطلوب طحينية بيضا أو حمراء
كيس طحين، عدس مجروش وعدس أسود وأرز تطبيق
عجوة
قهوة عيليت أو بُن
غزة"
2025-08-01 20:14:28+00:00,"مطلوب الواح طاقةة 
بحالة الجديد او فيه كسر بشتريه

كاش او تطبيق
المتوفر عنده يتواصل ع الرسائل و جوال
0597054091"
2025-08-01 20:14:06+00:00,"مطلوب بسكليت يكون من خان يونس


مطلوب بسكليت يكون من خان يونس


مطلوب بسكليت يكون من خان يونس"
2025-08-01 20:12:22+00:00,مطلوب رسيفر pein sport  بسعر كويس
2025-08-01 20:11:56+00:00,مطلوب ايفون 11او xrاوxs max
2025-08-01 20:06:25+00:00,"مطلوب بسكليت


مطلوب بسكليت


مطلوب بسكليت"
2025-08-01 20:02:41+00:00,"مطلوب كاش مقابل بنكي 
خانيونس"
2025-08-01 20:00:47+00:00,"مطلوب بسكليت


مطلوب بسكليت


مطلوب بسكليت"
2025-08-01 19:58:40+00:00,"مطلوب شاشة جوال سامسونج +A6
مطلوب تمر أو حلاوة بسعر منيح"
2025-08-01 19:58:24+00:00,"مطلوب كاش مقابل بنكي 
خانيونس"
2025-08-01 19:57:34+00:00,مطلوب تمر
2025-08-01 19:57:06+00:00,مطلوب شاشة جوال سامسونج +A6
2025-08-01 19:56:39+00:00,"مطلوب بسكليت


مطلوب بسكليت


مطلوب بسكليت"
2025-08-01 19:54:23+00:00,"مطلوب بسكليت


مطلوب بسكليت


مطلوب بسكليت"
2025-08-01 19:53:36+00:00,"متوفر 300$ USDT مطلوب بدالهم كاش 

الوسطى"
2025-08-01 19:49:41+00:00,"مطلوب كيس طحين أو نص كيس نقدي
غزة الصحابة أو الجلاء"
2025-08-01 19:49:28+00:00,"مطلوب بسكليت


مطلوب بسكليت


مطلوب بسكليت"
2025-08-01 19:47:51+00:00,"مطلوب بسكليت


مطلوب بسكليت


مطلوب بسكليت"
2025-08-01 19:43:51+00:00,مطلوب 20 علبة منهم تطبيق دير البلح دوار البركة
2025-08-01 19:34:31+00:00,"مطلوب ميزان الكتروني 
بحالة ممتازة 
غزة 
0595627965"
2025-08-01 19:32:03+00:00,مطلوب بسكليت
2025-08-01 19:31:49+00:00,مطلوب طحين و مواد تموينية عالتطبيق
2025-08-01 19:27:30+00:00,"مطلوب تطبيق
زيت سيرج
عدس
رز 
طحينية 
عدس مجروش
معكرونة 
طحين كيلوات
مواد تموينية"
2025-08-01 19:22:04+00:00,"مطلوب قداحة للبيع
نصيرات السوق او الزهور ."
2025-08-01 19:18:09+00:00,مطلوب طحين كيس ع تطبيق
2025-08-01 19:17:56+00:00,"مطلوب كاش مقابل بنكي 
خانيونس"
2025-08-01 19:16:08+00:00,"مطلوب ام 16 نخب تكون قصيرة 
شمال"
2025-08-01 19:14:17+00:00,"مطلوب كاش مقابل بنكي 
خانيونس"
2025-08-01 19:12:01+00:00,مطلوب كيس طحين على تطبيق
2025-08-01 19:10:24+00:00,"مطلوب كاش مقابل بنكي 
خانيونس"
2025-08-01 19:04:38+00:00,"مطلوب كاش مقابل بنكي 
خانيونس"
2025-08-01 19:02:21+00:00,"مطلوب لوح طاقة 250/350  واط 
مطلوب UPS نظيف 
مطلوب انفيرتر كيلو تايواني 
مطلوب بطارية 100 امبير فوق ال60٪
خانيونس"
2025-08-01 18:59:12+00:00,"مطلوب كاش مقابل بنكي 
خانيونس"
2025-08-01 18:56:58+00:00,"مطلوب جوال آيفون 13 وفوق 
يكون  بحالة بطارية وذاكرة ممتازة وسعر مناسب يراعي الظروف"
2025-08-01 18:52:07+00:00,مطلوب خميرة
2025-08-01 18:47:41+00:00,"مطلوب مطلوب مطلوب
 لابتوب i7 جيل 11 او 12
كرت RTX 3050 او 3060
رامات 16
يكون ممتاز ومافيه مشاكل
(تطبيق كامل وبسعر معقول) ...."
2025-08-01 18:43:38+00:00,"مطلوب لوح طاقة 250/350  واط 
مطلوب UPS نظيف 
مطلوب انفيرتر كيلو تايواني 
مطلوب بطارية 100 امبير فوق ال60٪
خانيونس"
2025-08-01 18:39:44+00:00,"بدي كراتين حليب اطفال حجم ٤٠٠ غرام 
رقم 1 + 2  من الشباب الطيبة الي بتروح عالمساعدات ويكون بسعر طري 
( مطلوب كمية )  وبميزان حسناتكم ي اكارم"
2025-08-01 18:38:06+00:00,"مطلوب مطلوب مطلوب
 لابتوب i7 جيل 11 او 12
كرت RTX 3050 او 3060
رامات 16
يكون ممتاز ومافيه مشاكل
(تطبيق كامل وبسعر معقول) ...."
2025-08-01 18:36:15+00:00,"مطلوب لوح طاقة 250/350  واط 
مطلوب UPS نظيف 
مطلوب انفيرتر كيلو تايواني 
مطلوب بطارية 100 امبير فوق ال60٪
خانيونس"
2025-08-01 18:31:26+00:00,"مطلوب خيمة قبة جديدة 
خانيونس"
2025-08-01 18:23:17+00:00,مطلوب عملة مهترء مقابل بنكي بدون ربا
2025-08-01 18:07:53+00:00,مطلوب جوال كشاف نوكيا للبيع
2025-08-01 18:05:29+00:00,"مطلوب خيمة قبة جديدة 
خانيونس"
2025-08-01 18:04:06+00:00,مطلوب 20 علبة منهم تطبيق دير البلح دوار البركة
2025-08-01 17:58:28+00:00,"مطلوب الواح طاقةة 
بحالة الجديد او فيه كسر بشتريه

كاش او تطبيق
المتوفر عنده يتواصل ع الرسائل و جوال
0597054091"
2025-08-01 17:53:53+00:00,"مطلوب تطبيق
زيت سيرج
عدس
رز 
طحينية 
عدس مجروش
معكرونة 
طحين كيلوات
مواد تموينية
تواصل خاص"
2025-08-01 17:49:12+00:00,مطلوب رز سيرج طحين عدس معكرونة تطبيق
2025-08-01 17:46:46+00:00,مطلوب ربطة ورق A4 تطبيق
